Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0107822493286693,-0.367996034253067,0.0315389223775337,0,0,0,0.720167465924811,0.00615545372950328,-4.87237789358096E-07,-2.97755475510978E-08,0.00612747058646997,4.18370923899482E-09,0.0122752906926513,0,0,0,0,0,0,package://castlex_description/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://castlex_description/meshes/base_link.STL,,底板（方形）-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
chassis_link,6.9267945770439E-06,-3.96574693306562E-06,0.00395606136220966,0,0,0,0.72016746592481,0.00615545372950328,-4.87237789358309E-07,2.97755475511005E-08,0.00612747058646997,-4.18370923861834E-09,0.0122752906926513,0,0,0,0,0,0,package://castlex_description/meshes/chassis_link.STL,1,1,1,1,0,0,0,0,0,0,package://castlex_description/meshes/chassis_link.STL,,底板（方形）-1,Origin_base_link_joint,Axis_base_link_joint,base_link_joint,fixed,0.0107891761232464,-0.368,0.027582861015324,0,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,0
axle_link,-6.92679457704216E-06,0.00395606136220966,-3.96574693306562E-06,0,0,0,0.720167465924811,0.00615545372950328,-2.97755475510977E-08,4.87237789358242E-07,0.0122752906926513,-4.18370923861933E-09,0.00612747058646997,0,0,0,0,0,0,package://castlex_description/meshes/axle_link.STL,1,1,1,1,0,0,0,0,0,0,package://castlex_description/meshes/axle_link.STL,,底板（方形）-1,Origin_axle_joint,Axis_axle_joint,axle_joint,fixed,0,0,0,1.5707963267949,0,3.14159265358979,chassis_link,0,0,0,,,,,,,,,,,,0
car_a_whell_shaft_link,1.3855E-10,-0.022254,8.3157E-10,0,0,0,0.043953,7.9726E-06,2.8686E-14,-1.401E-15,1.3822E-05,2.0711E-13,7.9726E-06,0,0,0,0,0,0,package://castlex_description/meshes/car_a_whell_shaft_link.STL,1,1,1,1,0,0,0,0,0,0,package://castlex_description/meshes/car_a_whell_shaft_link.STL,,轮子装配（改版）-3/万向轮（新）-1/轮轴链接块（轴承）新-1;轮子装配（改版）-3/M5垫片-1;轮子装配（改版）-3/轮子链轮-1,Origin_car_a_whell_joint,,car_a_whell_shaft_joint,fixed,-0.079983,0.023,0.13854,1.0472,0,1.5708,axle_link,0,0,0,,,,,,,,,,,,0
car_a_whell_disc_link,-7.6413E-13,0,0.01395,0,0,0,0.049359,2.6026E-05,3.4384E-19,1.0392E-19,2.6026E-05,1.3941E-17,5.1939E-05,0,0,0,0,0,0,package://castlex_description/meshes/car_a_whell_disc_link.STL,0.5,0.54,0.53,1,0,0,0,0,0,0,package://castlex_description/meshes/car_a_whell_disc_link.STL,,轮子装配（改版）-3/万向轮（新）-1/半边轮-3/主轮盘-1;轮子装配（改版）-3/万向轮（新）-1/半边轮-3/主轮盘-2;轮子装配（改版）-3/万向轮（新）-1/半边轮-1/主轮盘-2;轮子装配（改版）-3/万向轮（新）-1/半边轮-1/主轮盘-1,Origin_car_a_whell_disc_joint4,Axis_car_a_whell_disc_joint,car_a_whell_disc_joint,fixed,0,0.00123301270189213,0,1.5707963267949,-0.0218660615255049,0,car_a_whell_shaft_link,0,0,0,,,,,,,,,,,,0
car_a_whell_link,-0.026052,0.037502,-2.0596E-07,0,0,0,0.072738,3.5683E-06,1.7836E-07,3.1353E-12,3.1941E-06,1.1029E-12,3.1227E-06,0,0,0,0,0,0,package://castlex_description/meshes/car_a_whell_link.STL,0,0,0,1,0,0,0,0,0,0,package://castlex_description/meshes/car_a_whell_link.STL,,轮子装配（改版）-3/万向轮（新）-1/半边轮-3/从轮-2;轮子装配（改版）-3/万向轮（新）-1/半边轮-3/从轮-1;轮子装配（改版）-3/万向轮（新）-1/半边轮-3/从轮-9;轮子装配（改版）-3/万向轮（新）-1/半边轮-3/从轮-8;轮子装配（改版）-3/万向轮（新）-1/半边轮-3/从轮-7;轮子装配（改版）-3/万向轮（新）-1/半边轮-3/从轮-6;轮子装配（改版）-3/万向轮（新）-1/半边轮-3/从轮-5;轮子装配（改版）-3/万向轮（新）-1/半边轮-3/从轮-4;轮子装配（改版）-3/万向轮（新）-1/半边轮-3/从轮-3;轮子装配（改版）-3/万向轮（新）-1/半边轮-1/从轮-4;轮子装配（改版）-3/万向轮（新）-1/半边轮-1/从轮-5;轮子装配（改版）-3/万向轮（新）-1/半边轮-1/从轮-3;轮子装配（改版）-3/万向轮（新）-1/半边轮-1/从轮-2;轮子装配（改版）-3/万向轮（新）-1/半边轮-1/从轮-1;轮子装配（改版）-3/万向轮（新）-1/半边轮-1/从轮-9;轮子装配（改版）-3/万向轮（新）-1/半边轮-1/从轮-6;轮子装配（改版）-3/万向轮（新）-1/半边轮-1/从轮-7;轮子装配（改版）-3/万向轮（新）-1/半边轮-1/从轮-8,Origin_car_a_whell_joint4,Axis_car_a_whell_joint,car_a_whell_joint,fixed,0.0385363128413261,0.0222489506297024,0.00369999999999965,-1.57079632679489,1.19004334631925,0.523598775952223,car_a_whell_disc_link,0,0,0,,,,,,,,,,,,0
car_b_whell_shaft_link,-0.00043301,-0.036456,-0.00075,0,0,0,0.11582,4.9326E-05,2.0221E-13,3.5105E-15,1.5146E-05,-4.7893E-14,4.9326E-05,0,0,0,0,0,0,package://castlex_description/meshes/car_b_whell_shaft_link.STL,1,1,1,1,0,0,0,0,0,0,package://castlex_description/meshes/car_b_whell_shaft_link.STL,,轮子装配（改版）-2/轮轴φ12-1;轮子装配（改版）-2/M5垫片-1;轮子装配（改版）-2/万向轮（新）-1/C_B6801ZZ-1;轮子装配（改版）-2/万向轮（新）-1/轮轴链接块（轴承）新-1;轮子装配（改版）-2/轮子链轮-1,Origin_car_b_whell_joint,,car_b_whell_shaft_joint,fixed,-0.080175,0.02375,-0.13973,-1.5708,0.5236,0,axle_link,0,0,0,,,,,,,,,,,,0
car_b_whell_disc_link,-3.8122E-13,6.6022E-13,-0.00655,0,0,0,0.049359,2.6026E-05,5.5596E-16,1.2099E-17,2.6026E-05,6.9914E-18,5.1939E-05,0,0,0,0,0,0,package://castlex_description/meshes/car_b_whell_disc_link.STL,0.5,0.54,0.529,1,0,0,0,0,0,0,package://castlex_description/meshes/car_b_whell_disc_link.STL,,轮子装配（改版）-2/万向轮（新）-1/半边轮-1/主轮盘-1;轮子装配（改版）-2/万向轮（新）-1/半边轮-3/主轮盘-2;轮子装配（改版）-2/万向轮（新）-1/半边轮-3/主轮盘-1;轮子装配（改版）-2/万向轮（新）-1/半边轮-1/主轮盘-2,Origin_car_b_whell_disc_joint3,Axis_car_b_whell_disc_joint,car_b_whell_disc_joint,fixed,-0.000433012701892471,-0.0203999999999999,-0.000749999999999876,-1.5707963267949,-0.50173271407281,-3.14159265358979,car_b_whell_shaft_link,0,0,0,,,,,,,,,,,,0
car_b_whell_link,-0.026052,0.037502,1.445E-07,0,0,0,0.072738,3.5683E-06,1.7838E-07,-2.0619E-11,3.1941E-06,-1.7069E-11,3.1227E-06,0,0,0,0,0,0,package://castlex_description/meshes/car_b_whell_link.STL,0,0,0,1,0,0,0,0,0,0,package://castlex_description/meshes/car_b_whell_link.STL,,轮子装配（改版）-2/万向轮（新）-1/半边轮-3/从轮-4;轮子装配（改版）-2/万向轮（新）-1/半边轮-3/从轮-5;轮子装配（改版）-2/万向轮（新）-1/半边轮-3/从轮-6;轮子装配（改版）-2/万向轮（新）-1/半边轮-3/从轮-7;轮子装配（改版）-2/万向轮（新）-1/半边轮-3/从轮-8;轮子装配（改版）-2/万向轮（新）-1/半边轮-3/从轮-9;轮子装配（改版）-2/万向轮（新）-1/半边轮-3/从轮-1;轮子装配（改版）-2/万向轮（新）-1/半边轮-3/从轮-2;轮子装配（改版）-2/万向轮（新）-1/半边轮-1/从轮-3;轮子装配（改版）-2/万向轮（新）-1/半边轮-1/从轮-2;轮子装配（改版）-2/万向轮（新）-1/半边轮-1/从轮-1;轮子装配（改版）-2/万向轮（新）-1/半边轮-1/从轮-9;轮子装配（改版）-2/万向轮（新）-1/半边轮-1/从轮-4;轮子装配（改版）-2/万向轮（新）-1/半边轮-3/从轮-3;轮子装配（改版）-2/万向轮（新）-1/半边轮-1/从轮-7;轮子装配（改版）-2/万向轮（新）-1/半边轮-1/从轮-6;轮子装配（改版）-2/万向轮（新）-1/半边轮-1/从轮-5;轮子装配（改版）-2/万向轮（新）-1/半边轮-1/从轮-8,Origin_car_b_whell_joint4,Axis_car_b_whell_joint,car_b_whell_joint,fixed,-0.0152191785170915,-0.0418143494125209,-0.0168000000000001,-1.5707963267949,1.19004334631925,-1.91986217683983,car_b_whell_disc_link,0,0,0,,,,,,,,,,,,0
car_c_whell_shaft_link,3.6808E-11,-0.022253,-1.1285E-11,0,0,0,0.043954,7.9726E-06,1.0692E-14,-1.6854E-17,1.3822E-05,-2.379E-15,7.9726E-06,0,0,0,0,0,0,package://castlex_description/meshes/car_c_whell_shaft_link.STL,1,1,1,1,0,0,0,0,0,0,package://castlex_description/meshes/car_c_whell_shaft_link.STL,,轮子装配（改版）-1/万向轮（新）-1/轮轴链接块（轴承）新-1;轮子装配（改版）-1/万向轮（新）-1/C_B6801ZZ-1;轮子装配（改版）-1/M5垫片-1;轮子装配（改版）-1/轮子链轮-1,Origin_car_c_whell_joint,,car_c_whell_shaft_joint,fixed,0.15997,0.023,0,0,0,-1.5708,axle_link,0,0,0,,,,,,,,,,,,0
